"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2022/12/20","00:00","-0.155","-","-0.054"
"2022/12/20","00:06","-0.183","-","-0.098"
"2022/12/20","00:12","-0.211","-","-0.14"
"2022/12/20","00:18","-0.239","-","-0.182"
"2022/12/20","00:24","-0.268","-","-0.217"
"2022/12/20","00:30","-0.296","-","-0.248"
"2022/12/20","00:36","-0.324","-","-0.275"
"2022/12/20","00:42","-0.351","-","-0.302"
"2022/12/20","00:48","-0.379","-","-0.332"
"2022/12/20","00:54","-0.406","-","-0.362"
"2022/12/20","01:00","-0.433","-","-0.398"
"2022/12/20","01:06","-0.46","-","-0.436"
"2022/12/20","01:12","-0.486","-","-0.476"
"2022/12/20","01:18","-0.511","-","-0.514"
"2022/12/20","01:24","-0.536","-","-0.548"
"2022/12/20","01:30","-0.56","-","-0.58"
"2022/12/20","01:36","-0.583","-","-0.612"
"2022/12/20","01:42","-0.605","-","-0.643"
"2022/12/20","01:48","-0.626","-","-0.672"
"2022/12/20","01:54","-0.646","-","-0.695"
"2022/12/20","02:00","-0.664","-","-0.716"
"2022/12/20","02:06","-0.681","-","-0.734"
"2022/12/20","02:12","-0.696","-","-0.749"
"2022/12/20","02:18","-0.71","-","-0.765"
"2022/12/20","02:24","-0.721","-","-0.779"
"2022/12/20","02:30","-0.731","-","-0.794"
"2022/12/20","02:36","-0.739","-","-0.807"
"2022/12/20","02:42","-0.744","-","-0.815"
"2022/12/20","02:48","-0.748","-","-0.818"
"2022/12/20","02:54","-0.749","-","-0.813"
"2022/12/20","03:00","-0.749","-","-0.806"
"2022/12/20","03:06","-0.746","-","-0.796"
"2022/12/20","03:12","-0.742","-","-0.777"
"2022/12/20","03:18","-0.735","-","-0.759"
"2022/12/20","03:24","-0.727","-","-0.739"
"2022/12/20","03:30","-0.717","-","-0.719"
"2022/12/20","03:36","-0.706","-","-0.698"
"2022/12/20","03:42","-0.693","-","-0.675"
"2022/12/20","03:48","-0.68","-","-0.653"
"2022/12/20","03:54","-0.665","-","-0.637"
"2022/12/20","04:00","-0.649","-","-0.62"
"2022/12/20","04:06","-0.632","-","-0.6"
"2022/12/20","04:12","-0.615","-","-0.579"
"2022/12/20","04:18","-0.597","-","-0.558"
"2022/12/20","04:24","-0.579","-","-0.539"
"2022/12/20","04:30","-0.561","-","-0.524"
"2022/12/20","04:36","-0.542","-","-0.512"
"2022/12/20","04:42","-0.523","-","-0.505"
"2022/12/20","04:48","-0.505","-","-0.494"
"2022/12/20","04:54","-0.486","-","-0.483"
"2022/12/20","05:00","-0.467","-","-0.468"
"2022/12/20","05:06","-0.448","-","-0.453"
"2022/12/20","05:12","-0.429","-","-0.444"
"2022/12/20","05:18","-0.41","-","-0.439"
"2022/12/20","05:24","-0.39","-","-0.432"
"2022/12/20","05:30","-0.371","-","-0.428"
"2022/12/20","05:36","-0.351","-","-0.427"
"2022/12/20","05:42","-0.33","-","-0.422"
"2022/12/20","05:48","-0.309","-","-0.413"
"2022/12/20","05:54","-0.287","-","-0.402"
"2022/12/20","06:00","-0.265","-","-0.391"
"2022/12/20","06:06","-0.242","-","-0.381"
"2022/12/20","06:12","-0.218","-","-0.365"
"2022/12/20","06:18","-0.194","-","-0.344"
"2022/12/20","06:24","-0.168","-","-0.325"
"2022/12/20","06:30","-0.142","-","-0.304"
"2022/12/20","06:36","-0.114","-","-0.286"
"2022/12/20","06:42","-0.086","-","-0.261"
"2022/12/20","06:48","-0.057","-","-0.235"
"2022/12/20","06:54","-0.027","-","-0.202"
"2022/12/20","07:00","0.003","-","-0.168"
"2022/12/20","07:06","0.034","-","-0.13"
"2022/12/20","07:12","0.066","-","-0.092"
"2022/12/20","07:18","0.098","-","-0.055"
"2022/12/20","07:24","0.13","-","-0.02"
"2022/12/20","07:30","0.163","-","0.012"
"2022/12/20","07:36","0.195","-","0.045"
"2022/12/20","07:42","0.227","-","0.076"
"2022/12/20","07:48","0.259","-","0.108"
"2022/12/20","07:54","0.291","-","0.142"
"2022/12/20","08:00","0.322","-","0.172"
"2022/12/20","08:06","0.352","-","0.199"
"2022/12/20","08:12","0.382","-","0.227"
"2022/12/20","08:18","0.41","-","0.259"
"2022/12/20","08:24","0.437","-","0.289"
"2022/12/20","08:30","0.463","-","0.318"
"2022/12/20","08:36","0.488","-","0.349"
"2022/12/20","08:42","0.511","-","0.385"
"2022/12/20","08:48","0.533","-","0.42"
"2022/12/20","08:54","0.553","-","0.453"
"2022/12/20","09:00","0.571","-","0.488"
"2022/12/20","09:06","0.587","-","0.523"
"2022/12/20","09:12","0.602","-","0.554"
"2022/12/20","09:18","0.614","-","0.584"
"2022/12/20","09:24","0.624","-","0.611"
"2022/12/20","09:30","0.633","-","0.633"
"2022/12/20","09:36","0.639","-","0.653"
"2022/12/20","09:42","0.643","-","0.67"
"2022/12/20","09:48","0.645","-","0.689"
"2022/12/20","09:54","0.645","-","0.703"
"2022/12/20","10:00","0.643","-","0.712"
"2022/12/20","10:06","0.639","-","0.712"
"2022/12/20","10:12","0.632","-","0.705"
"2022/12/20","10:18","0.624","-","0.693"
"2022/12/20","10:24","0.613","-","0.679"
"2022/12/20","10:30","0.601","-","0.665"
"2022/12/20","10:36","0.586","-","0.65"
"2022/12/20","10:42","0.57","-","0.636"
"2022/12/20","10:48","0.552","-","0.62"
"2022/12/20","10:54","0.533","-","0.601"
"2022/12/20","11:00","0.511","-","0.576"
"2022/12/20","11:06","0.489","-","0.549"
"2022/12/20","11:12","0.465","-","0.522"
"2022/12/20","11:18","0.439","-","0.497"
"2022/12/20","11:24","0.413","-","0.469"
"2022/12/20","11:30","0.386","-","0.438"
"2022/12/20","11:36","0.357","-","0.407"
"2022/12/20","11:42","0.328","-","0.379"
"2022/12/20","11:48","0.298","-","0.352"
"2022/12/20","11:54","0.267","-","0.321"
"2022/12/20","12:00","0.235","-","0.289"
"2022/12/20","12:06","0.203","-","0.258"
"2022/12/20","12:12","0.171","-","0.225"
"2022/12/20","12:18","0.138","-","0.189"
"2022/12/20","12:24","0.105","-","0.151"
"2022/12/20","12:30","0.071","-","0.117"
"2022/12/20","12:36","0.038","-","0.088"
"2022/12/20","12:42","0.004","-","0.061"
"2022/12/20","12:48","-0.03","-","0.03"
"2022/12/20","12:54","-0.065","-","-0.006"
"2022/12/20","13:00","-0.099","-","-0.047"
"2022/12/20","13:06","-0.133","-","-0.089"
"2022/12/20","13:12","-0.168","-","-0.133"
"2022/12/20","13:18","-0.202","-","-0.174"
"2022/12/20","13:24","-0.236","-","-0.212"
"2022/12/20","13:30","-0.27","-","-0.244"
"2022/12/20","13:36","-0.303","-","-0.274"
"2022/12/20","13:42","-0.336","-","-0.307"
"2022/12/20","13:48","-0.369","-","-0.345"
"2022/12/20","13:54","-0.401","-","-0.384"
"2022/12/20","14:00","-0.432","-","-0.422"
"2022/12/20","14:06","-0.462","-","-0.456"
"2022/12/20","14:12","-0.491","-","-0.486"
"2022/12/20","14:18","-0.519","-","-0.51"
"2022/12/20","14:24","-0.545","-","-0.529"
"2022/12/20","14:30","-0.57","-","-0.548"
"2022/12/20","14:36","-0.594","-","-0.57"
"2022/12/20","14:42","-0.615","-","-0.599"
"2022/12/20","14:48","-0.635","-","-0.628"
"2022/12/20","14:54","-0.653","-","-0.652"
"2022/12/20","15:00","-0.669","-","-0.667"
"2022/12/20","15:06","-0.683","-","-0.677"
"2022/12/20","15:12","-0.695","-","-0.678"
"2022/12/20","15:18","-0.705","-","-0.676"
"2022/12/20","15:24","-0.713","-","-0.672"
"2022/12/20","15:30","-0.719","-","-0.661"
"2022/12/20","15:36","-0.722","-","-0.649"
"2022/12/20","15:42","-0.724","-","-0.63"
"2022/12/20","15:48","-0.724","-","-0.606"
"2022/12/20","15:54","-0.722","-","-0.581"
"2022/12/20","16:00","-0.719","-","-0.558"
"2022/12/20","16:06","-0.714","-","-0.543"
"2022/12/20","16:12","-0.707","-","-0.536"
"2022/12/20","16:18","-0.7","-","-0.528"
"2022/12/20","16:24","-0.692","-","-0.522"
"2022/12/20","16:30","-0.682","-","-0.518"
"2022/12/20","16:36","-0.672","-","-0.518"
"2022/12/20","16:42","-0.661","-","-0.512"
"2022/12/20","16:48","-0.65","-","-0.502"
"2022/12/20","16:54","-0.638","-","-0.487"
"2022/12/20","17:00","-0.626","-","-0.472"
"2022/12/20","17:06","-0.614","-","-0.458"
"2022/12/20","17:12","-0.601","-","-0.453"
"2022/12/20","17:18","-0.589","-","-0.447"
"2022/12/20","17:24","-0.576","-","-0.44"
"2022/12/20","17:30","-0.563","-","-0.426"
"2022/12/20","17:36","-0.55","-","-0.411"
"2022/12/20","17:42","-0.536","-","-0.401"
"2022/12/20","17:48","-0.522","-","-0.394"
"2022/12/20","17:54","-0.508","-","-0.383"
"2022/12/20","18:00","-0.493","-","-0.358"
"2022/12/20","18:06","-0.478","-","-0.331"
"2022/12/20","18:12","-0.462","-","-0.314"
"2022/12/20","18:18","-0.446","-","-0.294"
"2022/12/20","18:24","-0.428","-","-0.273"
"2022/12/20","18:30","-0.41","-","-0.25"
"2022/12/20","18:36","-0.391","-","-0.226"
"2022/12/20","18:42","-0.37","-","-0.204"
"2022/12/20","18:48","-0.349","-","-0.178"
"2022/12/20","18:54","-0.326","-","-0.153"
"2022/12/20","19:00","-0.303","-","-0.133"
"2022/12/20","19:06","-0.278","-","-0.12"
"2022/12/20","19:12","-0.253","-","-0.114"
"2022/12/20","19:18","-0.226","-","-0.113"
"2022/12/20","19:24","-0.198","-","-0.096"
"2022/12/20","19:30","-0.17","-","-0.069"
"2022/12/20","19:36","-0.14","-","-0.04"
"2022/12/20","19:42","-0.111","-","-0.015"
"2022/12/20","19:48","-0.08","-","0.01"
"2022/12/20","19:54","-0.049","-","0.034"
"2022/12/20","20:00","-0.018","-","0.054"
"2022/12/20","20:06","0.013","-","0.074"
"2022/12/20","20:12","0.045","-","0.1"
"2022/12/20","20:18","0.076","-","0.136"
"2022/12/20","20:24","0.107","-","0.177"
"2022/12/20","20:30","0.137","-","0.215"
"2022/12/20","20:36","0.167","-","0.248"
"2022/12/20","20:42","0.196","-","0.28"
"2022/12/20","20:48","0.224","-","0.313"
"2022/12/20","20:54","0.25","-","0.344"
"2022/12/20","21:00","0.276","-","0.375"
"2022/12/20","21:06","0.3","-","0.41"
"2022/12/20","21:12","0.323","-","0.449"
"2022/12/20","21:18","0.345","-","0.482"
"2022/12/20","21:24","0.364","-","0.505"
"2022/12/20","21:30","0.382","-","0.526"
"2022/12/20","21:36","0.398","-","0.55"
"2022/12/20","21:42","0.412","-","0.572"
"2022/12/20","21:48","0.424","-","0.589"
"2022/12/20","21:54","0.434","-","0.606"
"2022/12/20","22:00","0.441","-","0.627"
"2022/12/20","22:06","0.447","-","0.645"
"2022/12/20","22:12","0.45","-","0.652"
"2022/12/20","22:18","0.451","-","0.652"
"2022/12/20","22:24","0.449","-","0.652"
"2022/12/20","22:30","0.445","-","0.648"
"2022/12/20","22:36","0.439","-","0.641"
"2022/12/20","22:42","0.431","-","0.633"
"2022/12/20","22:48","0.42","-","0.63"
"2022/12/20","22:54","0.408","-","0.634"
"2022/12/20","23:00","0.393","-","0.631"
"2022/12/20","23:06","0.376","-","0.619"
"2022/12/20","23:12","0.357","-","0.6"
"2022/12/20","23:18","0.337","-","0.577"
"2022/12/20","23:24","0.314","-","0.55"
"2022/12/20","23:30","0.29","-","0.526"
"2022/12/20","23:36","0.264","-","0.51"
"2022/12/20","23:42","0.237","-","0.502"
"2022/12/20","23:48","0.209","-","0.491"
"2022/12/20","23:54","0.18","-","0.468"
"2022/12/21","00:00","0.149","-","0.434"
"2022/12/21","00:06","0.118","-","0.395"
"2022/12/21","00:12","0.086","-","0.356"
"2022/12/21","00:18","0.053","-","0.318"
"2022/12/21","00:24","0.019","-","0.287"
"2022/12/21","00:30","-0.015","-","0.259"
"2022/12/21","00:36","-0.049","-","0.228"
"2022/12/21","00:42","-0.084","-","0.19"
"2022/12/21","00:48","-0.118","-","0.144"
"2022/12/21","00:54","-0.153","-","0.097"
"2022/12/21","01:00","-0.188","-","0.05"
"2022/12/21","01:06","-0.223","-","0.007"
"2022/12/21","01:12","-0.258","-","-0.035"
"2022/12/21","01:18","-0.293","-","-0.076"
"2022/12/21","01:24","-0.327","-","-0.119"
"2022/12/21","01:30","-0.361","-","-0.166"
"2022/12/21","01:36","-0.395","-","-0.214"
"2022/12/21","01:42","-0.429","-","-0.265"
"2022/12/21","01:48","-0.461","-","-0.313"
"2022/12/21","01:54","-0.494","-","-0.354"
"2022/12/21","02:00","-0.525","-","-0.391"
"2022/12/21","02:06","-0.556","-","-0.429"
"2022/12/21","02:12","-0.586","-","-0.469"
"2022/12/21","02:18","-0.614","-","-0.509"
"2022/12/21","02:24","-0.642","-","-0.544"
"2022/12/21","02:30","-0.668","-","-0.576"
"2022/12/21","02:36","-0.693","-","-0.605"
"2022/12/21","02:42","-0.716","-","-0.631"
"2022/12/21","02:48","-0.737","-","-0.649"
"2022/12/21","02:54","-0.757","-","-0.663"
"2022/12/21","03:00","-0.775","-","-0.677"
"2022/12/21","03:06","-0.79","-","-0.695"
"2022/12/21","03:12","-0.804","-","-0.713"
"2022/12/21","03:18","-0.815","-","-0.728"
"2022/12/21","03:24","-0.824","-","-0.739"
"2022/12/21","03:30","-0.83","-","-0.748"
"2022/12/21","03:36","-0.835","-","-0.753"
"2022/12/21","03:42","-0.836","-","-0.748"
"2022/12/21","03:48","-0.836","-","-0.733"
"2022/12/21","03:54","-0.833","-","-0.72"
"2022/12/21","04:00","-0.828","-","-0.707"
"2022/12/21","04:06","-0.82","-","-0.691"
"2022/12/21","04:12","-0.811","-","-0.67"
"2022/12/21","04:18","-0.8","-","-0.646"
"2022/12/21","04:24","-0.787","-","-0.619"
"2022/12/21","04:30","-0.772","-","-0.588"
"2022/12/21","04:36","-0.756","-","-0.555"
"2022/12/21","04:42","-0.738","-","-0.521"
"2022/12/21","04:48","-0.72","-","-0.491"
"2022/12/21","04:54","-0.701","-","-0.461"
"2022/12/21","05:00","-0.68","-","-0.428"
"2022/12/21","05:06","-0.66","-","-0.393"
"2022/12/21","05:12","-0.638","-","-0.357"
"2022/12/21","05:18","-0.617","-","-0.323"
"2022/12/21","05:24","-0.595","-","-0.288"
"2022/12/21","05:30","-0.573","-","-0.254"
"2022/12/21","05:36","-0.552","-","-0.225"
"2022/12/21","05:42","-0.53","-","-0.203"
"2022/12/21","05:48","-0.508","-","-0.18"
"2022/12/21","05:54","-0.486","-","-0.154"
"2022/12/21","06:00","-0.464","-","-0.126"
"2022/12/21","06:06","-0.443","-","-0.1"
"2022/12/21","06:12","-0.421","-","-0.081"
"2022/12/21","06:18","-0.399","-","-0.068"
"2022/12/21","06:24","-0.377","-","-0.059"
"2022/12/21","06:30","-0.354","-","-0.049"
"2022/12/21","06:36","-0.331","-","-0.036"
"2022/12/21","06:42","-0.308","-","-0.017"
"2022/12/21","06:48","-0.284","-","0.007"
